TF_1,TF_2,k_1,K_m,n
I,O,8.1474,4598.7921,4
N,H,10.2050,6228.1304,3
P,G,9.6552,5887.9670,4
J,L,6.7008,5275.4465,3
D,T,8.1207,3566.9265,4
S,K,6.7232,4485.9300,3
B,S,7.5707,4459.2207,3
Q,L,9.1892,3741.4476,4
K,O,10.1823,5861.5289,4
A,F,7.5566,3743.3360,5
A,M,10.1930,6485.8526,3
A,O,8.0699,3946.0317,4
C,H,11.9509,5392.1639,3
C,L,8.9142,4224.7859,3
D,I,12.6212,4374.1634,5
D,O,11.4218,3273.9511,5
E,K,5.6728,4371.0242,5
F,L,7.6513,3198.4980,4
F,S,6.9993,4564.7262,4
G,Q,9.3268,3528.4267,5
J,M,8.3053,4635.5149,5
J,S,9.1230,4751.8982,5
K,R,11.9421,6120.2681,4
L,L,8.4574,5401.3755,4
N,N,11.0984,2947.4656,5
O,R,9.8338,2406.8115,5
P,Q,6.9592,2531.3285,5
P,S,4.8006,4494.4295,3
R,S,12.5666,3251.8952,4
S,S,6.1820,5096.3277,5
