TF_1,TF_2,k_1,K_m,n
Aaa,Bee,4.5272,238.9569,3
Aaa,Cee,6.5432,290.5048,3
Aaa,Dee,4.3077,290.9701,3
Aaa,Eee,5.8487,266.1395,3
Aaa,Fff,2.3735,260.2590,1
Aaa,Gee,2.2344,286.1992,1
Aaa,Haa,5.0349,243.7318,4
Aaa,Iii,5.6093,230.3279,1
Aaa,Jee,6.2219,236.9308,4
Bee,Cee,6.5982,227.4099,5
Bee,Dee,6.2147,279.1344,4
Bee,Eee,4.3980,238.6681,5
Bee,Fff,4.7208,278.1641,5
Bee,Gee,5.9266,285.2921,3
Bee,Haa,6.4610,233.3847,2
Bee,Iii,4.0897,203.1209,5
Bee,Jee,2.6516,267.7499,4
Cee,Dee,5.2615,265.0759,2
Cee,Eee,3.9838,293.6419,2
Cee,Fff,2.3070,227.2472,4
Cee,Gee,3.0713,260.3075,1
Cee,Haa,1.5466,230.8915,2
Cee,Iii,6.6824,293.6884,1
Cee,Jee,4.7103,204.3818,3
Dee,Eee,4.2599,284.0339,4
Dee,Fff,2.5950,290.4691,4
Dee,Gee,4.5167,289.7154,2
Dee,Haa,3.1108,261.8855,1
Dee,Iii,3.3469,218.7381,5
Dee,Jee,5.5203,267.4674,5
Eee,Fff,6.1310,254.8725,1
Eee,Gee,1.5918,251.4758,5
Eee,Haa,6.2691,293.5012,5
Eee,Iii,3.3283,232.0901,4
Eee,Jee,2.3264,295.9152,5
Fff,Gee,3.2858,234.4912,4
Fff,Haa,5.4788,280.0343,3
Fff,Iii,1.6073,255.9509,1
Fff,Jee,5.7352,265.9648,3
Gee,Haa,2.4187,271.3714,4
Gee,Iii,3.1514,203.2751,5
Gee,Jee,5.8144,250.9647,4
Haa,Iii,5.9448,233.0669,5
Haa,Jee,4.6044,228.7909,2
Iii,Jee,6.5636,236.6101,1
